transaction_id,customer_id,timestamp,description,payee,amount,channel,category,status
TXN-CLN-1087,CUST-1001,2026-08-07T08:37:00,Morning Chai & Breakfast,Chai Point,258.9,UPI,Dining,Completed
TXN-CLN-1088,CUST-1001,2026-08-08T11:20:00,Weekly Supermarket Shopping,DMart Supermarket,5882.24,UPI,Groceries,Completed
TXN-CLN-1089,CUST-1001,2026-08-10T08:48:00,Morning Chai & Breakfast,Chai Point,340.85,UPI,Dining,Completed
TXN-CLN-1090,CUST-1001,2026-08-11T08:43:00,Morning Chai & Breakfast,Chai Point,292.8,UPI,Dining,Completed
TXN-CLN-1091,CUST-1001,2026-08-12T08:36:00,Morning Chai & Breakfast,Chai Point,170.54,UPI,Dining,Completed
TXN-CLN-1092,CUST-1001,2026-08-14T08:23:00,Morning Chai & Breakfast,Chai Point,270.92,UPI,Dining,Completed
TXN-CLN-1093,CUST-1001,2026-08-15T09:15:00,Bi-weekly Payroll Salary Credit,Infosys Ltd Payroll,145000.0,NEFT,Income,Completed
TXN-CLN-1094,CUST-1001,2026-08-15T11:28:00,Weekly Supermarket Shopping,DMart Supermarket,5841.99,UPI,Groceries,Completed
TXN-CLN-1095,CUST-1001,2026-08-17T08:40:00,Morning Chai & Breakfast,Chai Point,267.24,UPI,Dining,Completed
TXN-CLN-1096,CUST-1001,2026-08-18T08:47:00,Morning Chai & Breakfast,Chai Point,273.4,UPI,Dining,Completed
TXN-CLN-1097,CUST-1001,2026-08-19T08:31:00,Morning Chai & Breakfast,Chai Point,344.4,UPI,Dining,Completed
TXN-CLN-1098,CUST-1001,2026-08-20T08:46:00,Morning Chai & Breakfast,Chai Point,305.96,UPI,Dining,Completed
TXN-CLN-1099,CUST-1001,2026-08-21T08:20:00,Morning Chai & Breakfast,Chai Point,184.5,UPI,Dining,Completed
TXN-CLN-1100,CUST-1001,2026-08-22T11:17:00,Weekly Supermarket Shopping,DMart Supermarket,2791.21,UPI,Groceries,Completed
TXN-CLN-1101,CUST-1001,2026-08-24T08:45:00,Morning Chai & Breakfast,Chai Point,213.02,UPI,Dining,Completed
TXN-CLN-1102,CUST-1001,2026-08-25T08:39:00,Morning Chai & Breakfast,Chai Point,330.57,UPI,Dining,Completed
TXN-CLN-1103,CUST-1001,2026-08-27T08:44:00,Morning Chai & Breakfast,Chai Point,274.66,UPI,Dining,Completed
TXN-CLN-1104,CUST-1001,2026-08-28T08:38:00,Morning Chai & Breakfast,Chai Point,213.12,UPI,Dining,Completed
